id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Athletic Club,Shakhtar Donetsk,0-0,fase_de_grupos,,
2,FC Porto,BATE Borisov,6-0,fase_de_grupos,,
3,Maribor,Sporting CP,1-1,fase_de_grupos,,
4,Chelsea,Schalke,1-1,fase_de_grupos,,
5,Ajax,Paris,1-1,fase_de_grupos,,
6,Barcelona,APOEL,1-0,fase_de_grupos,,
7,Bayern,Man City,1-0,fase_de_grupos,,
8,Roma,CSKA Moskva,5-1,fase_de_grupos,,
9,Galatasaray,Anderlecht,1-1,fase_de_grupos,,
10,Benfica,Zenit,0-2,fase_de_grupos,,
11,Monaco,Leverkusen,1-0,fase_de_grupos,,
12,Dortmund,Arsenal,2-0,fase_de_grupos,,
13,Real Madrid,Basel,5-1,fase_de_grupos,,
14,Liverpool,Ludogorets,2-1,fase_de_grupos,,
15,Olympiacos,Atlético de Madrid,3-2,fase_de_grupos,,
16,Juventus,Malmö,2-0,fase_de_grupos,,
17,Anderlecht,Dortmund,0-3,fase_de_grupos,,
18,Arsenal,Galatasaray,4-1,fase_de_grupos,,
19,Leverkusen,Benfica,3-1,fase_de_grupos,,
20,Ludogorets,Real Madrid,1-2,fase_de_grupos,,
21,Basel,Liverpool,1-0,fase_de_grupos,,
22,Atlético de Madrid,Juventus,1-0,fase_de_grupos,,
23,Malmö,Olympiacos,2-0,fase_de_grupos,,
24,Zenit,Monaco,0-0,fase_de_grupos,,
25,Shakhtar Donetsk,FC Porto,2-2,fase_de_grupos,,
26,BATE Borisov,Athletic Club,2-1,fase_de_grupos,,
27,Schalke,Maribor,1-1,fase_de_grupos,,
28,Sporting CP,Chelsea,0-1,fase_de_grupos,,
29,APOEL,Ajax,1-1,fase_de_grupos,,
30,Paris,Barcelona,3-2,fase_de_grupos,,
31,CSKA Moskva,Bayern,0-1,fase_de_grupos,,
32,Man City,Roma,1-1,fase_de_grupos,,
33,Galatasaray,Dortmund,0-4,fase_de_grupos,,
34,Anderlecht,Arsenal,1-2,fase_de_grupos,,
35,Monaco,Benfica,0-0,fase_de_grupos,,
36,Leverkusen,Zenit,2-0,fase_de_grupos,,
37,Liverpool,Real Madrid,0-3,fase_de_grupos,,
38,Ludogorets,Basel,1-0,fase_de_grupos,,
39,Olympiacos,Juventus,1-0,fase_de_grupos,,
40,Atlético de Madrid,Malmö,5-0,fase_de_grupos,,
41,BATE Borisov,Shakhtar Donetsk,0-7,fase_de_grupos,,
42,FC Porto,Athletic Club,2-1,fase_de_grupos,,
43,Chelsea,Maribor,6-0,fase_de_grupos,,
44,Schalke,Sporting CP,4-3,fase_de_grupos,,
45,Barcelona,Ajax,3-1,fase_de_grupos,,
46,APOEL,Paris,0-1,fase_de_grupos,,
47,CSKA Moskva,Man City,2-2,fase_de_grupos,,
48,Roma,Bayern,1-7,fase_de_grupos,,
49,Athletic Club,FC Porto,0-2,fase_de_grupos,,
50,Shakhtar Donetsk,BATE Borisov,5-0,fase_de_grupos,,
51,Sporting CP,Schalke,4-2,fase_de_grupos,,
52,Ajax,Barcelona,0-2,fase_de_grupos,,
53,Maribor,Chelsea,1-1,fase_de_grupos,,
54,Paris,APOEL,1-0,fase_de_grupos,,
55,Bayern,Roma,2-0,fase_de_grupos,,
56,Man City,CSKA Moskva,1-2,fase_de_grupos,,
57,Arsenal,Anderlecht,3-3,fase_de_grupos,,
58,Dortmund,Galatasaray,4-1,fase_de_grupos,,
59,Basel,Ludogorets,4-0,fase_de_grupos,,
60,Benfica,Monaco,1-0,fase_de_grupos,,
61,Real Madrid,Liverpool,1-0,fase_de_grupos,,
62,Juventus,Olympiacos,3-2,fase_de_grupos,,
63,Zenit,Leverkusen,1-2,fase_de_grupos,,
64,Malmö,Atlético de Madrid,0-2,fase_de_grupos,,
65,Arsenal,Dortmund,2-0,fase_de_grupos,,
66,Anderlecht,Galatasaray,2-0,fase_de_grupos,,
67,Leverkusen,Monaco,0-1,fase_de_grupos,,
68,Basel,Real Madrid,0-1,fase_de_grupos,,
69,Ludogorets,Liverpool,2-2,fase_de_grupos,,
70,Atlético de Madrid,Olympiacos,4-0,fase_de_grupos,,
71,Malmö,Juventus,0-2,fase_de_grupos,,
72,Zenit,Benfica,1-0,fase_de_grupos,,
73,Sporting CP,Maribor,3-1,fase_de_grupos,,
74,Schalke,Chelsea,0-5,fase_de_grupos,,
75,APOEL,Barcelona,0-4,fase_de_grupos,,
76,Manchester City,Bayern Munich,3-2,fase_de_grupos,,
77,CSKA Moskva,Roma,1-1,fase_de_grupos,,
78,Shakhtar Donetsk,Athletic Club,0-1,fase_de_grupos,,
79,BATE Borisov,FC Porto,0-3,fase_de_grupos,,
80,Paris,Ajax,3-1,fase_de_grupos,,
81,Athletic Club,BATE Borisov,2-0,fase_de_grupos,,
82,FC Porto,Shakhtar Donetsk,1-1,fase_de_grupos,,
83,Chelsea,Sporting CP,3-1,fase_de_grupos,,
84,Maribor,Schalke,0-1,fase_de_grupos,,
85,Ajax,APOEL,4-0,fase_de_grupos,,
86,Barcelona,Paris,3-1,fase_de_grupos,,
87,Bayern,CSKA Moskva,3-0,fase_de_grupos,,
88,Roma,Man City,0-2,fase_de_grupos,,
89,Galatasaray,Arsenal,1-4,fase_de_grupos,,
90,Dortmund,Anderlecht,1-1,fase_de_grupos,,
91,Benfica,Leverkusen,0-0,fase_de_grupos,,
92,Monaco,Zenit,2-0,fase_de_grupos,,
93,Real Madrid,Ludogorets,4-0,fase_de_grupos,,
94,Liverpool,Basel,1-1,fase_de_grupos,,
95,Olympiacos,Malmö,4-2,fase_de_grupos,,
96,Juventus,Atlético de Madrid,0-0,fase_de_grupos,,
1,Bayern,Shakhtar Donetsk,,octavos,0-0,7-0
2,Chelsea,Paris,,octavos,1-1,2-2
3,Real Madrid,Schalke,,octavos,2-0,3-4
4,FC Porto,Basel,,octavos,1-1,4-0
5,Leverkusen,Atlético de Madrid,,octavos,1-0,0-1
6,Arsenal,Monaco,,octavos,1-3,2-0
7,Man City,Barcelona,,octavos,1-2,0-1
8,Juventus,Dortmund,,octavos,2-1,3-0
1,Real Madrid,Atlético de Madrid,,cuartos,0-0,1-0
2,FC Porto,Bayern,,cuartos,3-1,1-6
3,Paris,Barcelona,,cuartos,1-3,0-2
4,Juventus,Monaco,,cuartos,1-0,0-0
1,Barcelona,Bayern,,semis,3-0,2-3
2,Juventus,Real Madrid,,semis,2-1,1-1
1,Juventus,Barcelona,1-3,final,,
