id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Juventus,Tottenham,2-2,2-1
2,Basel,Manchester City,0-4,2-1
3,Porto,Liverpool,0-5,0-0
4,Real Madrid,Paris Saint-Germain,3-1,2-1
5,Chelsea,Barcelona,1-1,0-3
6,Bayern Munich,Besiktas,5-0,3-1
7,Sevilla,Manchester United,0-0,2-1
8,Shakhtar Donetsk,Roma,2-1,0-1
