id_partido,equipo_local,equipo_visitante,resultado_final
1,Benfica,CSKA Moskva,1-2
2,Manchester United,Basel,3-0
3,Bayern München,Anderlecht,3-0
4,Celtic,Paris Saint-Germain,0-5
5,Chelsea,Qarabağ,6-0
6,Roma,Atlético Madrid,0-0
7,Barcelona,Juventus,3-0
8,Olympiacos,Sporting CP,2-3
9,Liverpool,Sevilla,2-2
10,Maribor,Spartak Moskva,1-1
11,RB Leipzig,Monaco,1-1
12,Porto,Beşiktaş,1-3
13,Real Madrid,APOEL,3-0
14,Tottenham,Borussia Dortmund,3-1
15,Shakhtar Donetsk,Napoli,2-1
16,Feyenoord,Manchester City,0-4
17,Qarabağ,Roma,1-2
18,Basel,Benfica,5-0
19,CSKA Moskva,Manchester United,1-4
20,Anderlecht,Celtic,0-3
21,Paris Saint-Germain,Bayern München,3-0
22,Sporting CP,Barcelona,0-1
23,Atlético Madrid,Chelsea,1-2
24,Juventus,Olympiacos,2-0
25,Sevilla,Maribor,3-0
26,Spartak Moskva,Liverpool,1-1
27,Manchester City,Shakhtar Donetsk,2-0
28,Napoli,Feyenoord,3-1
29,Monaco,Porto,0-3
30,Beşiktaş,RB Leipzig,2-0
31,Borussia Dortmund,Real Madrid,1-3
32,APOEL,Tottenham,0-3
33,Qarabağ,Atlético Madrid,0-0
34,Chelsea,Roma,3-3
35,Barcelona,Olympiacos,3-1
36,Juventus,Sporting CP,2-1
37,Benfica,Manchester United,0-1
38,CSKA Moskva,Basel,0-2
39,Bayern München,Celtic,3-0
40,Anderlecht,Paris Saint-Germain,0-4
41,Feyenoord,Shakhtar Donetsk,1-2
42,Manchester City,Napoli,2-1
43,RB Leipzig,Porto,3-2
44,Monaco,Beşiktaş,1-2
45,Real Madrid,Tottenham,1-1
46,APOEL,Borussia Dortmund,1-1
47,Maribor,Liverpool,0-7
48,Spartak Moskva,Sevilla,5-1
49,Atlético Madrid,Qarabağ,1-1
50,Roma,Chelsea,3-0
51,Olympiacos,Barcelona,0-0
52,Sporting CP,Juventus,1-1
53,Manchester United,Benfica,2-0
54,Basel,CSKA Moskva,1-2
55,Celtic,Bayern München,1-2
56,Paris Saint-Germain,Anderlecht,5-0
57,Shakhtar Donetsk,Feyenoord,3-1
58,Napoli,Manchester City,2-4
59,Porto,RB Leipzig,3-1
60,Beşiktaş,Monaco,1-1
61,Tottenham,Real Madrid,3-1
62,Borussia Dortmund,APOEL,1-1
63,Liverpool,Maribor,3-0
64,Sevilla,Spartak Moskva,2-1
65,Qarabağ,Chelsea,0-4
66,CSKA Moskva,Benfica,2-0
67,Basel,Manchester United,1-0
68,Anderlecht,Bayern München,1-2
69,Paris Saint-Germain,Celtic,7-1
70,Atlético Madrid,Roma,2-0
71,Juventus,Barcelona,0-0
72,Sporting CP,Olympiacos,3-1
73,Spartak Moskva,Maribor,1-1
74,Sevilla,Liverpool,3-3
75,Manchester City,Feyenoord,1-0
76,Napoli,Shakhtar Donetsk,3-0
77,Monaco,RB Leipzig,1-4
78,Dortmund,Tottenham,1-2
79,APOEL,Real Madrid,0-6
80,Beşiktaş,Porto,1-1
81,Chelsea,Atlético Madrid,1-1
82,Roma,Qarabağ,1-0
83,Barcelona,Sporting CP,2-0
84,Olympiacos,Juventus,0-2
85,Manchester United,CSKA Moskva,2-1
86,Benfica,Basel,0-2
87,Bayern München,Paris Saint-Germain,3-1
88,Celtic,Anderlecht,0-1
89,Liverpool,Spartak Moskva,7-0
90,Maribor,Sevilla,1-1
91,Feyenoord,Napoli,2-1
92,Shakhtar Donetsk,Manchester City,2-1
93,RB Leipzig,Beşiktaş,1-2
94,Porto,Monaco,5-2
95,Tottenham,APOEL,3-0
96,Real Madrid,Borussia Dortmund,3-2
