id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1.0,FC Bayern Munich,PSV Eindhoven,,cuartos,0-0,1-0
2.0,Real Sociedad,FC Barcelona,,cuartos,0-3,0-3
3.0,Porto,Real Madrid,,cuartos,1-3,1-3
4.0,Manchester City,Inter,,cuartos,0-1,0-0
