id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1.0,FC Barcelona,Real Madrid,,semifinales,1-3,1-3
2.0,FC Bayern Munich,Inter,,semifinales,0-2,0-1
