id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Real Madrid,Atlético de Madrid,0-0,1-0
2,FC Porto,Bayern,3-1,1-6
3,Paris,Barcelona,1-3,0-2
4,Juventus,Monaco,1-0,0-0
