id_partido,equipo_local,equipo_visitante,resultado_final
1,Athletic Club,Shakhtar Donetsk,0-0
2,FC Porto,BATE Borisov,6-0
3,Maribor,Sporting CP,1-1
4,Chelsea,Schalke,1-1
5,Ajax,Paris,1-1
6,Barcelona,APOEL,1-0
7,Bayern,Man City,1-0
8,Roma,CSKA Moskva,5-1
9,Galatasaray,Anderlecht,1-1
10,Benfica,Zenit,0-2
11,Monaco,Leverkusen,1-0
12,Dortmund,Arsenal,2-0
13,Real Madrid,Basel,5-1
14,Liverpool,Ludogorets,2-1
15,Olympiacos,Atlético de Madrid,3-2
16,Juventus,Malmö,2-0
17,Anderlecht,Dortmund,0-3
18,Arsenal,Galatasaray,4-1
19,Leverkusen,Benfica,3-1
20,Ludogorets,Real Madrid,1-2
21,Basel,Liverpool,1-0
22,Atlético de Madrid,Juventus,1-0
23,Malmö,Olympiacos,2-0
24,Zenit,Monaco,0-0
25,Shakhtar Donetsk,FC Porto,2-2
26,BATE Borisov,Athletic Club,2-1
27,Schalke,Maribor,1-1
28,Sporting CP,Chelsea,0-1
29,APOEL,Ajax,1-1
30,Paris,Barcelona,3-2
31,CSKA Moskva,Bayern,0-1
32,Man City,Roma,1-1
33,Galatasaray,Dortmund,0-4
34,Anderlecht,Arsenal,1-2
35,Monaco,Benfica,0-0
36,Leverkusen,Zenit,2-0
37,Liverpool,Real Madrid,0-3
38,Ludogorets,Basel,1-0
39,Olympiacos,Juventus,1-0
40,Atlético de Madrid,Malmö,5-0
41,BATE Borisov,Shakhtar Donetsk,0-7
42,FC Porto,Athletic Club,2-1
43,Chelsea,Maribor,6-0
44,Schalke,Sporting CP,4-3
45,Barcelona,Ajax,3-1
46,APOEL,Paris,0-1
47,CSKA Moskva,Man City,2-2
48,Roma,Bayern,1-7
49,Athletic Club,FC Porto,0-2
50,Shakhtar Donetsk,BATE Borisov,5-0
51,Sporting CP,Schalke,4-2
52,Ajax,Barcelona,0-2
53,Maribor,Chelsea,1-1
54,Paris,APOEL,1-0
55,Bayern,Roma,2-0
56,Man City,CSKA Moskva,1-2
57,Arsenal,Anderlecht,3-3
58,Dortmund,Galatasaray,4-1
59,Basel,Ludogorets,4-0
60,Benfica,Monaco,1-0
61,Real Madrid,Liverpool,1-0
62,Juventus,Olympiacos,3-2
63,Zenit,Leverkusen,1-2
64,Malmö,Atlético de Madrid,0-2
65,Arsenal,Dortmund,2-0
66,Anderlecht,Galatasaray,2-0
67,Leverkusen,Monaco,0-1
68,Basel,Real Madrid,0-1
69,Ludogorets,Liverpool,2-2
70,Atlético de Madrid,Olympiacos,4-0
71,Malmö,Juventus,0-2
72,Zenit,Benfica,1-0
73,Sporting CP,Maribor,3-1
74,Schalke,Chelsea,0-5
75,APOEL,Barcelona,0-4
76,Manchester City,Bayern Munich,3-2
77,CSKA Moskva,Roma,1-1
78,Shakhtar Donetsk,Athletic Club,0-1
79,BATE Borisov,FC Porto,0-3
80,Paris,Ajax,3-1
81,Athletic Club,BATE Borisov,2-0
82,FC Porto,Shakhtar Donetsk,1-1
83,Chelsea,Sporting CP,3-1
84,Maribor,Schalke,0-1
85,Ajax,APOEL,4-0
86,Barcelona,Paris,3-1
87,Bayern,CSKA Moskva,3-0
88,Roma,Man City,0-2
89,Galatasaray,Arsenal,1-4
90,Dortmund,Anderlecht,1-1
91,Benfica,Leverkusen,0-0
92,Monaco,Zenit,2-0
93,Real Madrid,Ludogorets,4-0
94,Liverpool,Basel,1-1
95,Olympiacos,Malmö,4-2
96,Juventus,Atlético de Madrid,0-0
