id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Atlético de Madrid,Barcelona,1-1,1-0
2,Chelsea,Paris,1-3,2-0
3,Bayern,Man United,1-1,3-1
4,Real Madrid,Dortmund,3-0,0-2
