id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Real Madrid,Chelsea,2-0,2-0
2,Manchester City,Bayern München,3-0,1-1
3,Milan,Napoli,1-0,1-1
4,Benfica,Inter,0-2,3-3
