id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,RB Leipzig,Shakhtar Donetsk,1-4,fase_de_grupos,,
2,Benfica,Maccabi Haifa,2-0,fase_de_grupos,,
3,PSG,Juventus,2-1,fase_de_grupos,,
4,Sevilla,Manchester City,0-4,fase_de_grupos,,
5,Celtic,Real Madrid,0-3,fase_de_grupos,,
6,Red Bull Salzburg,Milan,1-1,fase_de_grupos,,
7,Borussia Dortmund,Kobenhavn,3-0,fase_de_grupos,,
8,Dinamo Zagreb,Chelsea,1-0,fase_de_grupos,,
9,Eintracht Frankfurt,Sporting de Portugal,0-3,fase_de_grupos,,
10,Napoli,Liverpool,4-1,fase_de_grupos,,
11,Atlético de Madrid,Porto,2-1,fase_de_grupos,,
12,Brugge,Bayer Leverkusen,1-0,fase_de_grupos,,
13,Barcelona,Viktoria Plzeň,5-1,fase_de_grupos,,
14,Inter,Bayern München,0-2,fase_de_grupos,,
15,Tottenham,Olympique de Marseille,2-0,fase_de_grupos,,
16,Ajax,Rangers,4-0,fase_de_grupos,,
17,Porto,Brugge,0-4,fase_de_grupos,,
18,Olympique de Marseille,Eintracht Frankfurt,0-1,fase_de_grupos,,
19,Bayern München,Barcelona,2-0,fase_de_grupos,,
20,Bayer Leverkusen,Atlético de Madrid,2-0,fase_de_grupos,,
21,Viktoria Plzeň,Inter,0-2,fase_de_grupos,,
22,Sporting de Portugal,Tottenham,2-0,fase_de_grupos,,
23,Liverpool,Ajax,2-1,fase_de_grupos,,
24,Manchester City,Borussia Dortmund,2-1,fase_de_grupos,,
25,Maccabi Haifa,PSG,1-3,fase_de_grupos,,
26,Juventus,Benfica,1-2,fase_de_grupos,,
27,Kobenhavn,Sevilla,0-0,fase_de_grupos,,
28,Real Madrid,RB Leipzig,2-0,fase_de_grupos,,
29,Chelsea,Red Bull Salzburg,1-1,fase_de_grupos,,
30,Rangers,Napoli,0-3,fase_de_grupos,,
31,Shakhtar Donetsk,Celtic,1-1,fase_de_grupos,,
32,Milan,Dinamo Zagreb,3-1,fase_de_grupos,,
33,Eintracht Frankfurt,Tottenham,0-0,fase_de_grupos,,
34,Inter,Barcelona,1-0,fase_de_grupos,,
35,Brugge,Atlético de Madrid,2-0,fase_de_grupos,,
36,Porto,Bayer Leverkusen,2-0,fase_de_grupos,,
37,Ajax,Napoli,1-6,fase_de_grupos,,
38,Liverpool,Rangers,2-0,fase_de_grupos,,
39,Olympique de Marseille,Sporting de Portugal,4-1,fase_de_grupos,,
40,Bayern München,Viktoria Plzeň,5-0,fase_de_grupos,,
41,RB Leipzig,Celtic,3-1,fase_de_grupos,,
42,Chelsea,Milan,3-0,fase_de_grupos,,
43,Manchester City,Kobenhavn,5-0,fase_de_grupos,,
44,Sevilla,Borussia Dortmund,1-4,fase_de_grupos,,
45,Juventus,Maccabi Haifa,3-1,fase_de_grupos,,
46,Benfica,PSG,1-1,fase_de_grupos,,
47,Real Madrid,Shakhtar Donetsk,2-1,fase_de_grupos,,
48,Red Bull Salzburg,Dinamo Zagreb,1-0,fase_de_grupos,,
49,Kobenhavn,Manchester City,0-0,fase_de_grupos,,
50,Maccabi Haifa,Juventus,2-0,fase_de_grupos,,
51,Milan,Chelsea,0-2,fase_de_grupos,,
52,Shakhtar Donetsk,Real Madrid,1-1,fase_de_grupos,,
53,Celtic,RB Leipzig,0-2,fase_de_grupos,,
54,Borussia Dortmund,Sevilla,1-1,fase_de_grupos,,
55,PSG,Benfica,1-1,fase_de_grupos,,
56,Dinamo Zagreb,Red Bull Salzburg,1-1,fase_de_grupos,,
57,Viktoria Plzeň,Bayern München,2-4,fase_de_grupos,,
58,Atlético de Madrid,Brugge,0-0,fase_de_grupos,,
59,Sporting de Portugal,Olympique de Marseille,0-2,fase_de_grupos,,
