id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Benfica,CSKA Moskva,1-2,fase_de_grupos,,
2,Manchester United,Basel,3-0,fase_de_grupos,,
3,Bayern München,Anderlecht,3-0,fase_de_grupos,,
4,Celtic,Paris Saint-Germain,0-5,fase_de_grupos,,
5,Chelsea,Qarabağ,6-0,fase_de_grupos,,
6,Roma,Atlético Madrid,0-0,fase_de_grupos,,
7,Barcelona,Juventus,3-0,fase_de_grupos,,
8,Olympiacos,Sporting CP,2-3,fase_de_grupos,,
9,Liverpool,Sevilla,2-2,fase_de_grupos,,
10,Maribor,Spartak Moskva,1-1,fase_de_grupos,,
11,RB Leipzig,Monaco,1-1,fase_de_grupos,,
12,Porto,Beşiktaş,1-3,fase_de_grupos,,
13,Real Madrid,APOEL,3-0,fase_de_grupos,,
14,Tottenham,Borussia Dortmund,3-1,fase_de_grupos,,
15,Shakhtar Donetsk,Napoli,2-1,fase_de_grupos,,
16,Feyenoord,Manchester City,0-4,fase_de_grupos,,
17,Qarabağ,Roma,1-2,fase_de_grupos,,
18,Basel,Benfica,5-0,fase_de_grupos,,
19,CSKA Moskva,Manchester United,1-4,fase_de_grupos,,
20,Anderlecht,Celtic,0-3,fase_de_grupos,,
21,Paris Saint-Germain,Bayern München,3-0,fase_de_grupos,,
22,Sporting CP,Barcelona,0-1,fase_de_grupos,,
23,Atlético Madrid,Chelsea,1-2,fase_de_grupos,,
24,Juventus,Olympiacos,2-0,fase_de_grupos,,
25,Sevilla,Maribor,3-0,fase_de_grupos,,
26,Spartak Moskva,Liverpool,1-1,fase_de_grupos,,
27,Manchester City,Shakhtar Donetsk,2-0,fase_de_grupos,,
28,Napoli,Feyenoord,3-1,fase_de_grupos,,
29,Monaco,Porto,0-3,fase_de_grupos,,
30,Beşiktaş,RB Leipzig,2-0,fase_de_grupos,,
31,Borussia Dortmund,Real Madrid,1-3,fase_de_grupos,,
32,APOEL,Tottenham,0-3,fase_de_grupos,,
33,Qarabağ,Atlético Madrid,0-0,fase_de_grupos,,
34,Chelsea,Roma,3-3,fase_de_grupos,,
35,Barcelona,Olympiacos,3-1,fase_de_grupos,,
36,Juventus,Sporting CP,2-1,fase_de_grupos,,
37,Benfica,Manchester United,0-1,fase_de_grupos,,
38,CSKA Moskva,Basel,0-2,fase_de_grupos,,
39,Bayern München,Celtic,3-0,fase_de_grupos,,
40,Anderlecht,Paris Saint-Germain,0-4,fase_de_grupos,,
41,Feyenoord,Shakhtar Donetsk,1-2,fase_de_grupos,,
42,Manchester City,Napoli,2-1,fase_de_grupos,,
43,RB Leipzig,Porto,3-2,fase_de_grupos,,
44,Monaco,Beşiktaş,1-2,fase_de_grupos,,
45,Real Madrid,Tottenham,1-1,fase_de_grupos,,
46,APOEL,Borussia Dortmund,1-1,fase_de_grupos,,
47,Maribor,Liverpool,0-7,fase_de_grupos,,
48,Spartak Moskva,Sevilla,5-1,fase_de_grupos,,
49,Atlético Madrid,Qarabağ,1-1,fase_de_grupos,,
50,Roma,Chelsea,3-0,fase_de_grupos,,
51,Olympiacos,Barcelona,0-0,fase_de_grupos,,
52,Sporting CP,Juventus,1-1,fase_de_grupos,,
53,Manchester United,Benfica,2-0,fase_de_grupos,,
54,Basel,CSKA Moskva,1-2,fase_de_grupos,,
55,Celtic,Bayern München,1-2,fase_de_grupos,,
56,Paris Saint-Germain,Anderlecht,5-0,fase_de_grupos,,
57,Shakhtar Donetsk,Feyenoord,3-1,fase_de_grupos,,
58,Napoli,Manchester City,2-4,fase_de_grupos,,
59,Porto,RB Leipzig,3-1,fase_de_grupos,,
60,Beşiktaş,Monaco,1-1,fase_de_grupos,,
61,Tottenham,Real Madrid,3-1,fase_de_grupos,,
62,Borussia Dortmund,APOEL,1-1,fase_de_grupos,,
63,Liverpool,Maribor,3-0,fase_de_grupos,,
64,Sevilla,Spartak Moskva,2-1,fase_de_grupos,,
65,Qarabağ,Chelsea,0-4,fase_de_grupos,,
66,CSKA Moskva,Benfica,2-0,fase_de_grupos,,
67,Basel,Manchester United,1-0,fase_de_grupos,,
68,Anderlecht,Bayern München,1-2,fase_de_grupos,,
69,Paris Saint-Germain,Celtic,7-1,fase_de_grupos,,
70,Atlético Madrid,Roma,2-0,fase_de_grupos,,
71,Juventus,Barcelona,0-0,fase_de_grupos,,
72,Sporting CP,Olympiacos,3-1,fase_de_grupos,,
73,Spartak Moskva,Maribor,1-1,fase_de_grupos,,
74,Sevilla,Liverpool,3-3,fase_de_grupos,,
75,Manchester City,Feyenoord,1-0,fase_de_grupos,,
76,Napoli,Shakhtar Donetsk,3-0,fase_de_grupos,,
77,Monaco,RB Leipzig,1-4,fase_de_grupos,,
78,Dortmund,Tottenham,1-2,fase_de_grupos,,
79,APOEL,Real Madrid,0-6,fase_de_grupos,,
80,Beşiktaş,Porto,1-1,fase_de_grupos,,
81,Chelsea,Atlético Madrid,1-1,fase_de_grupos,,
82,Roma,Qarabağ,1-0,fase_de_grupos,,
83,Barcelona,Sporting CP,2-0,fase_de_grupos,,
84,Olympiacos,Juventus,0-2,fase_de_grupos,,
85,Manchester United,CSKA Moskva,2-1,fase_de_grupos,,
86,Benfica,Basel,0-2,fase_de_grupos,,
87,Bayern München,Paris Saint-Germain,3-1,fase_de_grupos,,
88,Celtic,Anderlecht,0-1,fase_de_grupos,,
89,Liverpool,Spartak Moskva,7-0,fase_de_grupos,,
90,Maribor,Sevilla,1-1,fase_de_grupos,,
91,Feyenoord,Napoli,2-1,fase_de_grupos,,
92,Shakhtar Donetsk,Manchester City,2-1,fase_de_grupos,,
93,RB Leipzig,Beşiktaş,1-2,fase_de_grupos,,
94,Porto,Monaco,5-2,fase_de_grupos,,
95,Tottenham,APOEL,3-0,fase_de_grupos,,
96,Real Madrid,Borussia Dortmund,3-2,fase_de_grupos,,
1,Juventus,Tottenham,,octavos,2-2,2-1
2,Basel,Manchester City,,octavos,0-4,2-1
3,Porto,Liverpool,,octavos,0-5,0-0
4,Real Madrid,Paris Saint-Germain,,octavos,3-1,2-1
5,Chelsea,Barcelona,,octavos,1-1,0-3
6,Bayern Munich,Besiktas,,octavos,5-0,3-1
7,Sevilla,Manchester United,,octavos,0-0,2-1
8,Shakhtar Donetsk,Roma,,octavos,2-1,0-1
1,Barcelona,Roma,,cuartos,4-1,0-3
2,Sevilla,Bayern Munich,,cuartos,1-2,0-0
3,Juventus,Real Madrid,,cuartos,0-3,3-1
4,Liverpool,Manchester City,,cuartos,3-0,2-1
1,Liverpool,Roma,,semis,5-2,2-4
2,Bayern Munich,Real Madrid,,semis,1-2,2-2
1,Real Madrid,Liverpool,3-1,final,,
