id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Schalke 04,Manchester City,2-3,0-7
2,Atlético Madrid,Juventus,2-0,0-3
3,Manchester United,Paris Saint-Germain,0-2,3-1
4,Tottenham Hotspur,Borussia Dortmund,3-0,1-0
5,Lyon,Barcelona,0-0,1-5
6,Roma,Porto,2-1,1-3
7,Ajax,Real Madrid,1-2,4-1
8,Liverpool,Bayern Munich,0-0,3-1
