id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Liverpool FC,FC Porto,2-0,4-1
2,Tottenham Hotspur,Manchester City,1-0,3-4
3,AFC Ajax,Juventus,1-1,2-1
4,Manchester United,FC Barcelona,0-1,0-3
