id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Milan,Newcastle,0-0,fase_de_grupos,,
2,Young Boys,RB Leipzig,1-3,fase_de_grupos,,
3,Feyenoord,Celtic,2-0,fase_de_grupos,,
4,Lazio,Atletico Madrid,1-1,fase_de_grupos,,
5,Paris Saint-Germain,Borussia Dortmund,2-0,fase_de_grupos,,
6,Manchester City,Crvena zvezda,3-1,fase_de_grupos,,
7,Barcelona,Royal Antwerp,5-0,fase_de_grupos,,
8,Shakhtar Donetsk,Porto,1-3,fase_de_grupos,,
9,Galatasaray,Copenhagen,2-2,fase_de_grupos,,
10,Real Madrid,Union Berlin,1-0,fase_de_grupos,,
11,Bayern Munich,Manchester United,4-3,fase_de_grupos,,
12,Arsenal,PSV Eindhoven,4-0,fase_de_grupos,,
13,Sevilla,Lens,1-1,fase_de_grupos,,
14,Braga,Napoli,1-2,fase_de_grupos,,
15,Real Sociedad,Inter,1-1,fase_de_grupos,,
16,Benfica,Salzburg,0-2,fase_de_grupos,,
17,Union Berlin,Braga,2-3,fase_de_grupos,,
18,Salzburg,Real Sociedad,0-2,fase_de_grupos,,
19,Manchester United,Galatasaray,2-3,fase_de_grupos,,
20,Copenhagen,Bayern Munich,1-2,fase_de_grupos,,
21,Lens,Arsenal,2-1,fase_de_grupos,,
22,PSV Eindhoven,Sevilla,2-2,fase_de_grupos,,
23,Napoli,Real Madrid,2-3,fase_de_grupos,,
24,Inter,Benfica,1-0,fase_de_grupos,,
25,Atletico Madrid,Feyenoord,3-2,fase_de_grupos,,
26,Royal Antwerp,Shakhtar Donetsk,2-3,fase_de_grupos,,
27,Celtic,Lazio,1-2,fase_de_grupos,,
28,Borussia Dortmund,Milan,0-0,fase_de_grupos,,
29,Newcastle,Paris Saint-Germain,4-1,fase_de_grupos,,
30,RB Leipzig,Manchester City,1-3,fase_de_grupos,,
31,Crvena zvezda,Young Boys,2-2,fase_de_grupos,,
32,Porto,Barcelona,0-1,fase_de_grupos,,
33,Galatasaray,Bayern Munich,1-3,fase_de_grupos,,
34,Inter,Salzburg,2-1,fase_de_grupos,,
35,Manchester United,Copenhagen,1-0,fase_de_grupos,,
36,Sevilla,Arsenal,1-2,fase_de_grupos,,
37,Lens,PSV Eindhoven,1-1,fase_de_grupos,,
38,Braga,Real Madrid,1-2,fase_de_grupos,,
39,Union Berlin,Napoli,0-1,fase_de_grupos,,
40,Benfica,Real Sociedad,0-1,fase_de_grupos,,
41,Feyenoord,Lazio,3-1,fase_de_grupos,,
42,Barcelona,Shakhtar Donetsk,2-1,fase_de_grupos,,
43,Celtic,Atletico Madrid,2-2,fase_de_grupos,,
44,Paris Saint-Germain,Milan,3-0,fase_de_grupos,,
45,Newcastle,Borussia Dortmund,0-1,fase_de_grupos,,
46,RB Leipzig,Crvena zvezda,3-1,fase_de_grupos,,
47,Young Boys,Manchester City,1-3,fase_de_grupos,,
48,Royal Antwerp,Porto,1-4,fase_de_grupos,,
49,Borussia Dortmund,Newcastle,2-0,fase_de_grupos,,
50,Shakhtar Donetsk,Barcelona,1-0,fase_de_grupos,,
51,Atletico Madrid,Celtic,6-0,fase_de_grupos,,
52,Lazio,Feyenoord,1-0,fase_de_grupos,,
53,Milan,Paris Saint-Germain,2-1,fase_de_grupos,,
54,Manchester City,Young Boys,3-0,fase_de_grupos,,
55,Crvena zvezda,RB Leipzig,1-2,fase_de_grupos,,
56,Porto,Royal Antwerp,2-0,fase_de_grupos,,
57,Napoli,Union Berlin,1-1,fase_de_grupos,,
58,Real Sociedad,Benfica,3-1,fase_de_grupos,,
59,Bayern Munich,Galatasaray,2-1,fase_de_grupos,,
60,Copenhagen,Manchester United,4-3,fase_de_grupos,,
61,Arsenal,Sevilla,2-0,fase_de_grupos,,
62,PSV Eindhoven,Lens,1-0,fase_de_grupos,,
63,Real Madrid,Braga,3-0,fase_de_grupos,,
64,Salzburg,Inter,0-1,fase_de_grupos,,
65,Lazio,Celtic,2-0,fase_de_grupos,,
66,Shakhtar Donetsk,Royal Antwerp,1-0,fase_de_grupos,,
67,Feyenoord,Atletico Madrid,1-3,fase_de_grupos,,
68,Paris Saint-Germain,Newcastle,1-1,fase_de_grupos,,
69,Milan,Borussia Dortmund,1-3,fase_de_grupos,,
70,Manchester City,RB Leipzig,3-2,fase_de_grupos,,
71,Young Boys,Crvena zvezda,2-0,fase_de_grupos,,
72,Barcelona,Porto,2-1,fase_de_grupos,,
73,Galatasaray,Manchester United,3-3,fase_de_grupos,,
74,Sevilla,PSV Eindhoven,2-3,fase_de_grupos,,
75,Bayern Munich,Copenhagen,0-0,fase_de_grupos,,
76,Arsenal,Lens,6-0,fase_de_grupos,,
77,Real Madrid,Napoli,4-2,fase_de_grupos,,
78,Braga,Union Berlin,1-1,fase_de_grupos,,
79,Benfica,Inter,3-3,fase_de_grupos,,
80,Real Sociedad,Salzburg,0-0,fase_de_grupos,,
81,Lens,Sevilla,2-1,fase_de_grupos,,
82,PSV Eindhoven,Arsenal,1-1,fase_de_grupos,,
83,Manchester United,Bayern Munich,0-1,fase_de_grupos,,
84,Copenhagen,Galatasaray,1-0,fase_de_grupos,,
85,Napoli,Braga,2-0,fase_de_grupos,,
86,Union Berlin,Real Madrid,2-3,fase_de_grupos,,
87,Inter,Real Sociedad,0-0,fase_de_grupos,,
88,Salzburg,Benfica,1-3,fase_de_grupos,,
89,RB Leipzig,Young Boys,2-1,fase_de_grupos,,
90,Crvena zvezda,Manchester City,2-3,fase_de_grupos,,
91,Atletico Madrid,Lazio,2-0,fase_de_grupos,,
92,Celtic,Feyenoord,2-1,fase_de_grupos,,
93,Borussia Dortmund,Paris Saint-Germain,1-1,fase_de_grupos,,
94,Newcastle,Milan,1-2,fase_de_grupos,,
95,Porto,Shakhtar Donetsk,5-3,fase_de_grupos,,
96,Royal Antwerp,Barcelona,3-2,fase_de_grupos,,
1,Porto,Arsenal,,octavos,,
2,Napoli,Barcelona,,octavos,,
3,Paris Saint-Germain,Real Sociedad,,octavos,,
4,Inter,Atletico Madrid,,octavos,,
5,PSV,Borussia Dortmund,,octavos,,
6,Lazio,Bayern Munich,,octavos,,
7,Copenhagen,Manchester City,,octavos,,
8,RB Leipzig,Real Madrid,,octavos,,
