id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
91.0,Atletico Madrid,SS Lazio,2-0,fase_de_grupos,,
92.0,Celtic FC,Feyenoord Rotterdam,2-1,fase_de_grupos,,
93.0,Borussia Dortmund,Paris Saint-Germain,1-1,fase_de_grupos,,
94.0,Newcastle United,Milan,1-2,fase_de_grupos,,
95.0,Porto,Shakhtar,5-3,fase_de_grupos,,
96.0,Royal Antwerp FC,FC Barcelona,3-2,fase_de_grupos,,
1.0,Porto,Arsenal,,octavos,0-2,3-1
2.0,SSC Napoli,FC Barcelona,,octavos,1-2,1-3
3.0,Paris Saint-Germain,Real Sociedad,,octavos,1-0,1-3
4.0,Inter,Atletico Madrid,,octavos,1-0,0-0
5.0,PSV Eindhoven,Borussia Dortmund,,octavos,2-1,1-0
6.0,SS Lazio,FC Bayern Munich,,octavos,1-4,1-2
7.0,FC Copenhagen,Manchester City,,octavos,1-1,0-7
8.0,RB Leipzig,Real Madrid,,octavos,0-3,1-3
,Inter,Manchester City,,cuartos,0-0,
,FC Barcelona,FC Bayern Munich,,cuartos,1-2,
,Real Madrid,Porto,,cuartos,1-0,
,Real Sociedad,PSV Eindhoven,,cuartos,0-0,
