id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Benfica,Liverpool,1-3,3-3
2,Villarreal,Bayern München,1-0,1-1
3,Manchester City,Atlético Madrid,1-0,0-0
4,Chelsea,Real Madrid,1-3,2-3
