id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Gent,Lyon,1-1,fase_de_grupos,,
2,Valencia,Zenit,2-3,fase_de_grupos,,
3,Dynamo Kyiv,FC Porto,2-2,fase_de_grupos,,
4,Olympiacos,Bayern,0-3,fase_de_grupos,,
5,Chelsea,Maccabi Tel Aviv,4-0,fase_de_grupos,,
6,Dinamo Zagreb,Arsenal,2-1,fase_de_grupos,,
7,Roma,Barcelona,1-1,fase_de_grupos,,
8,Leverkusen,BATE Borisov,4-1,fase_de_grupos,,
9,Sevilla,Mönchengladbach,3-0,fase_de_grupos,,
10,Man City,Juventus,1-2,fase_de_grupos,,
11,PSV,Man United,2-1,fase_de_grupos,,
12,Wolfsburg,CSKA Moskva,1-0,fase_de_grupos,,
13,Paris,Malmö,2-0,fase_de_grupos,,
14,Real Madrid,Shakhtar Donetsk,4-0,fase_de_grupos,,
15,Galatasaray,Atlético de Madrid,0-2,fase_de_grupos,,
16,Benfica,Astana,2-0,fase_de_grupos,,
17,Juventus,Sevilla,2-0,fase_de_grupos,,
18,Mönchengladbach,Man City,1-2,fase_de_grupos,,
19,CSKA Moskva,PSV,3-2,fase_de_grupos,,
20,Man United,Wolfsburg,2-1,fase_de_grupos,,
21,Shakhtar Donetsk,Paris,0-3,fase_de_grupos,,
22,Malmö,Real Madrid,0-2,fase_de_grupos,,
23,Astana,Galatasaray,2-2,fase_de_grupos,,
24,Atlético de Madrid,Benfica,1-2,fase_de_grupos,,
25,Lyon,Valencia,0-1,fase_de_grupos,,
26,Zenit,Gent,2-1,fase_de_grupos,,
27,FC Porto,Chelsea,2-1,fase_de_grupos,,
28,Maccabi Tel Aviv,Dynamo Kyiv,0-2,fase_de_grupos,,
29,Arsenal,Olympiacos,2-3,fase_de_grupos,,
30,Bayern,Dinamo Zagreb,5-0,fase_de_grupos,,
31,Barcelona,Leverkusen,2-1,fase_de_grupos,,
32,BATE Borisov,Roma,3-2,fase_de_grupos,,
33,Man City,Sevilla,2-1,fase_de_grupos,,
34,Juventus,Mönchengladbach,0-0,fase_de_grupos,,
35,Atlético de Madrid,Astana,4-0,fase_de_grupos,,
36,Galatasaray,Benfica,2-1,fase_de_grupos,,
37,Wolfsburg,PSV,2-0,fase_de_grupos,,
38,CSKA Moskva,Man United,1-1,fase_de_grupos,,
39,Paris,Real Madrid,0-0,fase_de_grupos,,
40,Malmö,Shakhtar Donetsk,1-0,fase_de_grupos,,
41,Zenit,Lyon,3-1,fase_de_grupos,,
42,Valencia,Gent,2-1,fase_de_grupos,,
43,Dynamo Kyiv,Chelsea,0-0,fase_de_grupos,,
44,FC Porto,Maccabi Tel Aviv,2-0,fase_de_grupos,,
45,Dinamo Zagreb,Olympiacos,0-1,fase_de_grupos,,
46,Arsenal,Bayern,2-0,fase_de_grupos,,
47,BATE Borisov,Barcelona,0-2,fase_de_grupos,,
48,Leverkusen,Roma,4-4,fase_de_grupos,,
49,Gent,Valencia,1-0,fase_de_grupos,,
50,Lyon,Zenit,0-2,fase_de_grupos,,
51,Maccabi Tel Aviv,FC Porto,1-3,fase_de_grupos,,
52,Olympiacos,Dinamo Zagreb,2-1,fase_de_grupos,,
53,Chelsea,Dynamo Kyiv,2-1,fase_de_grupos,,
54,Bayern,Arsenal,5-1,fase_de_grupos,,
55,Roma,Leverkusen,3-2,fase_de_grupos,,
56,Barcelona,BATE Borisov,3-0,fase_de_grupos,,
57,Mönchengladbach,Juventus,1-1,fase_de_grupos,,
58,Sevilla,Man City,1-3,fase_de_grupos,,
59,Benfica,Galatasaray,2-1,fase_de_grupos,,
60,PSV,Wolfsburg,2-0,fase_de_grupos,,
61,Man United,CSKA Moskva,1-0,fase_de_grupos,,
62,Astana,Atlético de Madrid,0-0,fase_de_grupos,,
63,Real Madrid,Paris,1-0,fase_de_grupos,,
64,Shakhtar Donetsk,Malmö,4-0,fase_de_grupos,,
65,Mönchengladbach,Sevilla,4-2,fase_de_grupos,,
66,Juventus,Man City,1-0,fase_de_grupos,,
67,Man United,PSV,0-0,fase_de_grupos,,
68,CSKA Moskva,Wolfsburg,0-2,fase_de_grupos,,
69,Maccabi Tel Aviv,Chelsea,0-4,fase_de_grupos,,
70,Shakhtar Donetsk,Real Madrid,3-4,fase_de_grupos,,
71,Malmö,Paris,0-5,fase_de_grupos,,
72,Atlético de Madrid,Galatasaray,2-0,fase_de_grupos,,
73,Astana,Benfica,2-2,fase_de_grupos,,
74,Lyon,Gent,1-2,fase_de_grupos,,
75,FC Porto,Dynamo Kyiv,0-2,fase_de_grupos,,
76,Bayern,Olympiacos,4-0,fase_de_grupos,,
77,Arsenal,Dinamo Zagreb,3-0,fase_de_grupos,,
78,Barcelona,Roma,6-1,fase_de_grupos,,
79,BATE Borisov,Leverkusen,1-1,fase_de_grupos,,
80,Zenit,Valencia,2-0,fase_de_grupos,,
81,Gent,Zenit,2-1,fase_de_grupos,,
82,Valencia,Lyon,0-2,fase_de_grupos,,
83,Dynamo Kyiv,Maccabi Tel Aviv,1-0,fase_de_grupos,,
84,Chelsea,FC Porto,2-0,fase_de_grupos,,
85,Olympiacos,Arsenal,0-3,fase_de_grupos,,
86,Dinamo Zagreb,Bayern,0-2,fase_de_grupos,,
87,Roma,BATE Borisov,0-0,fase_de_grupos,,
88,Leverkusen,Barcelona,1-1,fase_de_grupos,,
89,Man City,Mönchengladbach,4-2,fase_de_grupos,,
90,Sevilla,Juventus,1-0,fase_de_grupos,,
91,Benfica,Atlético de Madrid,1-2,fase_de_grupos,,
92,Galatasaray,Astana,1-1,fase_de_grupos,,
93,PSV,CSKA Moskva,2-1,fase_de_grupos,,
94,Wolfsburg,Man United,3-2,fase_de_grupos,,
95,Paris,Shakhtar Donetsk,2-0,fase_de_grupos,,
96,Real Madrid,Malmö,8-0,fase_de_grupos,,
1,Barcelona,Arsenal,,octavos,2-0,3-1
2,Bayern,Juventus,,octavos,2-2,4-2
3,Man City,Dynamo Kyiv,,octavos,3-1,0-0
4,Atlético de Madrid,PSV,,octavos,0-0,0-0
5,Chelsea,Paris,,octavos,1-2,1-2
6,Zenit,Benfica,,octavos,0-1,1-2
7,Wolfsburg,Gent,,octavos,3-2,1-0
8,Real Madrid,Roma,,octavos,2-0,2-0
1,Benfica,Bayern,,cuartos,0-1,2-2
2,Barcelona,Atlético de Madrid,,cuartos,2-1,0-2
3,Man City,Paris,,cuartos,2-2,1-0
4,Wolfsburg,Real Madrid,,cuartos,2-0,0-3
1,Real Madrid,Man City,,semis,0-0,1-0
2,Bayern,Atlético de Madrid,,semis,1-0,1-2
1,Real Madrid,Atlético de Madrid,5-3,final,,
