id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Manchester City,Borussia Dortmund,2-1,2-1
2,Porto,Chelsea,0-2,0-1
3,Bayern Múnich,Paris Saint-Germain,2-3,0-1
4,Real Madrid,Liverpool,3-1,0-0
