id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Borussia Mönchengladbach,Manchester City,0-2,0-2
2,Lazio,Bayern Múnich,1-4,1-2
3,Atlético Madrid,Chelsea,0-1,0-2
4,RB Leipzig,Liverpool,0-2,0-2
5,Porto,Juventus,2-1,2-3
6,Barcelona,Paris Saint-Germain,1-4,1-1
7,Sevilla,Borussia Dortmund,2-3,2-2
8,Atalanta,Real Madrid,0-1,1-3
