id_partido,equipo_local,equipo_visitante,resultado_final
1,Zenit,Club Brugge,1-2
2,Dinamo Kiev,Juventus,0-2
3,Chelsea,Sevilla,0-0
4,Rennes,Krasnodar,1-1
5,Lazio,Borussia Dortmund,3-1
6,Barcelona,Ferencváros,5-1
7,PSG,Manchester United,1-2
8,RB Leipzig,İstanbul Başakşehir,2-0
9,Real Madrid,Shakhtar Donetsk,2-3
10,Bayern Múnich,Atlético Madrid,4-0
11,Inter Milan,Borussia Mönchengladbach,2-2
12,Manchester City,Porto,3-1
13,Olympiacos,Marsella,1-0
14,Ajax,Liverpool,0-1
15,Midtjylland,Atalanta,0-4
16,Salzburg,Lokomotiv Moscú,2-2
17,Lokomotiv Moscú,Bayern Múnich,1-2
18,Shakhtar Donetsk,Inter Milan,0-0
19,Atlético Madrid,Salzburg,3-2
20,Borussia Mönchengladbach,Real Madrid,2-2
21,Porto,Olympiacos,2-0
22,Marsella,Manchester City,0-3
23,Liverpool,Midtjylland,2-0
24,Atalanta,Ajax,2-2
25,Krasnodar,Chelsea,0-4
26,İstanbul Başakşehir,PSG,0-2
27,Sevilla,Rennes,1-0
28,Borussia Dortmund,Zenit,2-0
29,Club Brugge,Lazio,1-1
30,Juventus,Barcelona,0-2
31,Ferencváros,Dinamo Kiev,2-2
32,Manchester United,RB Leipzig,5-0
33,Shakhtar Donetsk,Borussia Mönchengladbach,0-6
34,Lokomotiv Moscú,Atlético Madrid,1-1
35,Salzburg,Bayern Múnich,2-6
36,Real Madrid,Inter Milan,3-2
37,Manchester City,Olympiacos,3-0
38,Porto,Marsella,3-0
39,Midtjylland,Ajax,1-2
40,Atalanta,Liverpool,0-5
41,Zenit,Lazio,1-1
42,İstanbul Başakşehir,Manchester United,2-1
43,Barcelona,Dinamo Kiev,2-1
44,Ferencváros,Juventus,1-4
45,Club Brugge,Borussia Dortmund,0-3
46,Sevilla,Krasnodar,3-2
47,Chelsea,Rennes,3-0
48,RB Leipzig,PSG,2-1
49,Borussia Mönchengladbach,Shakhtar Donetsk,4-0
50,Atlético Madrid,Lokomotiv Moscú,0-0
51,Bayern Múnich,Salzburg,3-1
52,Inter Milan,Real Madrid,0-2
53,Olympiacos,Manchester City,0-1
54,Marsella,Porto,0-2
55,Ajax,Midtjylland,3-1
56,Liverpool,Atalanta,0-2
57,Lazio,Zenit,3-1
58,Manchester United,İstanbul Başakşehir,4-1
59,Dinamo Kiev,Barcelona,0-4
60,Juventus,Ferencváros,2-1
61,Borussia Dortmund,Club Brugge,3-0
62,Krasnodar,Sevilla,1-2
63,Rennes,Chelsea,1-2
64,PSG,RB Leipzig,1-0
65,Lokomotiv Moscú,Salzburg,1-3
66,Shakhtar Donetsk,Real Madrid,2-0
67,Atalanta,Midtjylland,1-1
68,Borussia Mönchengladbach,Inter Milan,2-3
69,Porto,Manchester City,0-0
70,Marsella,Olympiacos,2-1
71,Liverpool,Ajax,1-0
72,Atlético Madrid,Bayern Múnich,1-1
73,İstanbul Başakşehir,RB Leipzig,3-4
74,Krasnodar,Rennes,1-0
75,Sevilla,Chelsea,0-4
76,Borussia Dortmund,Lazio,1-1
77,Club Brugge,Zenit,3-0
78,Juventus,Dinamo Kiev,3-0
79,Ferencváros,Barcelona,0-3
80,Manchester United,Paris Saint-Germain,1-3
81,Bayern Múnich,Lokomotiv Moscú,2-0
82,Salzburg,Atlético Madrid,0-2
83,Real Madrid,Borussia Mönchengladbach,2-0
84,Inter Milan,Shakhtar Donetsk,0-0
85,Manchester City,Marsella,3-0
86,Olympiacos,Porto,0-2
87,Ajax,Atalanta,0-1
88,Midtjylland,Liverpool,1-1
89,Paris Saint-Germain,İstanbul Başakşehir,5-1
90,RB Leipzig,Manchester United,3-2
91,Rennes,Sevilla,1-3
92,Chelsea,Krasnodar,1-1
93,Lazio,Club Brugge,2-2
94,Zenit,Borussia Dortmund,1-2
95,Barcelona,Juventus,0-3
96,Dinamo Kiev,Ferencváros,1-0
