id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
78.0,SC Braga,Union Berlin,1-1,fase_de_grupos,1-0,0-0
79.0,SL Benfica,Inter,3-3,fase_de_grupos,0-2,3-3
80.0,Real Sociedad,RB Salzburg,0-0,fase_de_grupos,0-3,0-0
81.0,RC Lens,Sevilla FC,2-1,fase_de_grupos,1-2,2-0
82.0,PSV Eindhoven,Arsenal,1-1,fase_de_grupos,2-1,3-1
83.0,Manchester United,FC Bayern Munich,0-1,fase_de_grupos,0-3,3-1
84.0,FC Copenhagen,Galatasaray A.S.,1-0,fase_de_grupos,1-1,0-7
85.0,SSC Napoli,SC Braga,2-0,fase_de_grupos,1-2,1-3
86.0,Union Berlin,Real Madrid,2-3,fase_de_grupos,1-2,1-3
87.0,Inter,Real Sociedad,0-0,fase_de_grupos,1-0,0-0
88.0,RB Salzburg,SL Benfica,1-3,fase_de_grupos,0-1,1-7
89.0,RB Leipzig,BSC Young Boys,2-1,fase_de_grupos,0-3,0-7
90.0,Red Star Belgrade,Manchester City,2-3,fase_de_grupos,1-2,0-7
91.0,Atletico Madrid,SS Lazio,2-0,fase_de_grupos,1-0,0-0
92.0,Celtic FC,Feyenoord Rotterdam,2-1,fase_de_grupos,1-0,0-0
93.0,Borussia Dortmund,Paris Saint-Germain,1-1,fase_de_grupos,2-1,0-2
94.0,Newcastle United,Milan,1-2,fase_de_grupos,1-0,0-0
95.0,Porto,Shakhtar,5-3,fase_de_grupos,0-0,7-0
96.0,Royal Antwerp FC,FC Barcelona,3-2,fase_de_grupos,1-2,0-3
97.0,Porto,Arsenal,,octavos,0-2,3-1
98.0,SSC Napoli,FC Barcelona,,octavos,1-2,1-3
99.0,Paris Saint-Germain,Real Sociedad,,octavos,1-0,1-3
100.0,Inter,Atletico Madrid,,octavos,1-0,0-0
101.0,PSV Eindhoven,Borussia Dortmund,,octavos,2-1,1-0
102.0,SS Lazio,FC Bayern Munich,,octavos,1-4,1-2
103.0,FC Copenhagen,Manchester City,,octavos,1-1,0-7
104.0,RB Leipzig,Real Madrid,,octavos,0-3,1-3
105.0,FC Bayern Munich,PSV Eindhoven,,cuartos,0-0,1-0
106.0,Real Sociedad,FC Barcelona,,cuartos,0-3,0-3
107.0,Porto,Real Madrid,,cuartos,1-3,1-3
108.0,Manchester City,Inter,,cuartos,0-1,0-0
109.0,FC Barcelona,Real Madrid,,semifinales,1-3,1-3
110.0,FC Bayern Munich,Inter,,semifinales,0-2,0-1
111.0,Real Madrid,Inter,,final,0-2,
