id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Barcelona,Bayern München,0-3,fase_de_grupos,,
2,Dynamo Kyiv,Benfica,0-0,fase_de_grupos,,
3,Chelsea,Zenit,1-0,fase_de_grupos,,
4,Malmö,Juventus,0-3,fase_de_grupos,,
5,Lille,Wolfsburg,0-0,fase_de_grupos,,
6,Villarreal,Atalanta,2-2,fase_de_grupos,,
7,Young Boys,Manchester United,2-1,fase_de_grupos,,
8,Sevilla,Red Bull Salzburg,1-1,fase_de_grupos,,
9,Sporting de Portugal,Ajax,1-5,fase_de_grupos,,
10,Atlético de Madrid,Porto,0-0,fase_de_grupos,,
11,Manchester City,RB Leipzig,6-3,fase_de_grupos,,
12,Brugge,PSG,1-1,fase_de_grupos,,
13,Sheriff Tiraspol,Shakhtar Donetsk,2-0,fase_de_grupos,,
14,Beşiktaş,Borussia Dortmund,1-2,fase_de_grupos,,
15,Liverpool,Milan,3-2,fase_de_grupos,,
16,Inter,Real Madrid,0-1,fase_de_grupos,,
17,Borussia Dortmund,Sporting de Portugal,1-0,fase_de_grupos,,
18,Milan,Atlético de Madrid,1-2,fase_de_grupos,,
19,Porto,Liverpool,1-5,fase_de_grupos,,
20,RB Leipzig,Brugge,1-2,fase_de_grupos,,
21,PSG,Manchester City,2-0,fase_de_grupos,,
22,Shakhtar Donetsk,Inter,0-0,fase_de_grupos,,
23,Real Madrid,Sheriff Tiraspol,1-2,fase_de_grupos,,
24,Juventus,Chelsea,1-0,fase_de_grupos,,
25,Red Bull Salzburg,Lille,2-1,fase_de_grupos,,
26,Atalanta,Young Boys,1-0,fase_de_grupos,,
27,Wolfsburg,Sevilla,1-1,fase_de_grupos,,
28,Manchester United,Villarreal,2-1,fase_de_grupos,,
29,Benfica,Barcelona,3-0,fase_de_grupos,,
30,Bayern München,Dynamo Kyiv,5-0,fase_de_grupos,,
31,Zenit,Malmö,4-0,fase_de_grupos,,
32,Atlético de Madrid,Liverpool,2-3,fase_de_grupos,,
33,Inter,Sheriff Tiraspol,3-1,fase_de_grupos,,
34,Shakhtar Donetsk,Real Madrid,0-5,fase_de_grupos,,
35,Brugge,Manchester City,1-5,fase_de_grupos,,
36,Beşiktaş,Sporting de Portugal,1-4,fase_de_grupos,,
37,PSG,RB Leipzig,3-2,fase_de_grupos,,
38,Porto,Milan,1-0,fase_de_grupos,,
39,Ajax,Borussia Dortmund,4-0,fase_de_grupos,,
40,Manchester United,Atalanta,3-2,fase_de_grupos,,
41,Zenit,Juventus,0-1,fase_de_grupos,,
42,Chelsea,Malmö,4-0,fase_de_grupos,,
43,Lille,Sevilla,0-0,fase_de_grupos,,
44,Young Boys,Villarreal,1-4,fase_de_grupos,,
45,Benfica,Bayern München,0-4,fase_de_grupos,,
46,Red Bull Salzburg,Wolfsburg,3-1,fase_de_grupos,,
47,Barcelona,Dynamo Kyiv,1-0,fase_de_grupos,,
48,Juventus,Zenit,4-2,fase_de_grupos,,
49,Dynamo Kyiv,Barcelona,0-1,fase_de_grupos,,
50,Atalanta,Manchester United,2-2,fase_de_grupos,,
51,Villarreal,Young Boys,2-0,fase_de_grupos,,
52,Bayern München,Benfica,5-2,fase_de_grupos,,
53,Sevilla,Lille,1-2,fase_de_grupos,,
54,Malmö,Chelsea,0-1,fase_de_grupos,,
55,Wolfsburg,Red Bull Salzburg,2-1,fase_de_grupos,,
56,Borussia Dortmund,Ajax,1-3,fase_de_grupos,,
57,Sporting de Portugal,Beşiktaş,4-0,fase_de_grupos,,
58,Liverpool,Atlético de Madrid,2-0,fase_de_grupos,,
59,RB Leipzig,PSG,2-2,fase_de_grupos,,
60,Manchester City,Brugge,4-1,fase_de_grupos,,
61,Real Madrid,Shakhtar Donetsk,2-1,fase_de_grupos,,
62,Milan,Porto,1-1,fase_de_grupos,,
63,Sheriff Tiraspol,Inter,1-3,fase_de_grupos,,
64,Lille,Red Bull Salzburg,1-0,fase_de_grupos,,
65,Sevilla,Wolfsburg,2-0,fase_de_grupos,,
66,Malmö,Zenit,1-1,fase_de_grupos,,
67,Villarreal,Manchester United,0-2,fase_de_grupos,,
68,Barcelona,Benfica,0-0,fase_de_grupos,,
69,Chelsea,Juventus,4-0,fase_de_grupos,,
70,Young Boys,Atalanta,3-3,fase_de_grupos,,
71,Dynamo Kyiv,Bayern München,1-2,fase_de_grupos,,
72,Inter,Shakhtar Donetsk,2-0,fase_de_grupos,,
73,Sporting de Portugal,Borussia Dortmund,3-1,fase_de_grupos,,
74,Beşiktaş,Ajax,1-2,fase_de_grupos,,
75,Sheriff Tiraspol,Real Madrid,0-3,fase_de_grupos,,
76,Brugge,RB Leipzig,0-5,fase_de_grupos,,
77,Manchester City,PSG,2-1,fase_de_grupos,,
78,Liverpool,Porto,2-0,fase_de_grupos,,
79,Atlético de Madrid,Milan,0-1,fase_de_grupos,,
80,Porto,Atlético de Madrid,1-3,fase_de_grupos,,
81,RB Leipzig,Manchester City,2-1,fase_de_grupos,,
82,Milan,Liverpool,1-2,fase_de_grupos,,
83,PSG,Brugge,4-1,fase_de_grupos,,
84,Borussia Dortmund,Beşiktaş,5-0,fase_de_grupos,,
85,Shakhtar Donetsk,Sheriff Tiraspol,1-1,fase_de_grupos,,
86,Real Madrid,Inter,2-0,fase_de_grupos,,
87,Ajax,Sporting de Portugal,4-2,fase_de_grupos,,
88,Manchester United,Young Boys,1-1,fase_de_grupos,,
89,Red Bull Salzburg,Sevilla,1-0,fase_de_grupos,,
90,Wolfsburg,Lille,1-3,fase_de_grupos,,
91,Juventus,Malmö,1-0,fase_de_grupos,,
92,Zenit,Chelsea,3-3,fase_de_grupos,,
93,Benfica,Dynamo Kyiv,2-0,fase_de_grupos,,
94,Bayern München,Barcelona,3-0,fase_de_grupos,,
95,Atalanta,Villarreal,2-3,fase_de_grupos,,
