id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Benfica,Bayern,0-1,2-2
2,Barcelona,Atlético de Madrid,2-1,0-2
3,Man City,Paris,2-2,1-0
4,Wolfsburg,Real Madrid,2-0,0-3
