id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Club Brugge,Dortmund,0-1,fase_de_grupos,,
2,Monaco,Atlético,1-2,fase_de_grupos,,
3,Barcelona,PSV Eindhoven,4-0,fase_de_grupos,,
4,Inter,Tottenham,2-1,fase_de_grupos,,
5,Liverpool,Paris,3-2,fase_de_grupos,,
6,Crvena zvezda,Napoli,0-0,fase_de_grupos,,
7,Galatasaray,Lokomotiv Moskva,3-0,fase_de_grupos,,
8,Schalke,Porto,1-1,fase_de_grupos,,
9,Ajax,AEK Athens,3-0,fase_de_grupos,,
10,Benfica,Bayern München,0-2,fase_de_grupos,,
11,Shakhtar Donetsk,Hoffenheim,2-2,fase_de_grupos,,
12,Manchester City,Lyon,1-2,fase_de_grupos,,
13,Real Madrid,Roma,3-0,fase_de_grupos,,
14,Viktoria Plzeň,CSKA Moskva,2-2,fase_de_grupos,,
15,Young Boys,Manchester United,0-3,fase_de_grupos,,
16,Valencia,Juventus,0-2,fase_de_grupos,,
17,Bayern München,Ajax,1-1,fase_de_grupos,,
18,AEK Athens,Benfica,2-3,fase_de_grupos,,
19,Hoffenheim,Manchester City,1-2,fase_de_grupos,,
20,Lyon,Shakhtar Donetsk,2-2,fase_de_grupos,,
21,CSKA Moskva,Real Madrid,1-0,fase_de_grupos,,
22,Roma,Viktoria Plzeň,5-0,fase_de_grupos,,
23,Juventus,Young Boys,3-0,fase_de_grupos,,
24,Manchester United,Valencia,0-0,fase_de_grupos,,
25,Atlético Madrid,Club Brugge,3-1,fase_de_grupos,,
26,Dortmund,Monaco,3-0,fase_de_grupos,,
27,Tottenham,Barcelona,2-4,fase_de_grupos,,
28,PSV Eindhoven,Inter,1-2,fase_de_grupos,,
29,Paris Saint-Germain,Crvena zvezda,6-1,fase_de_grupos,,
30,Napoli,Liverpool,1-0,fase_de_grupos,,
31,Lokomotiv Moskva,Schalke 04,0-1,fase_de_grupos,,
32,Porto,Galatasaray,1-0,fase_de_grupos,,
33,AEK Athens,Bayern München,0-2,fase_de_grupos,,
34,Young Boys,Valencia,1-1,fase_de_grupos,,
35,Ajax,Benfica,1-0,fase_de_grupos,,
36,Shakhtar Donetsk,Manchester City,0-3,fase_de_grupos,,
37,Real Madrid,Viktoria Plzeň,2-1,fase_de_grupos,,
38,Roma,CSKA Moskva,3-0,fase_de_grupos,,
39,Manchester United,Juventus,0-1,fase_de_grupos,,
40,Hoffenheim,Lyon,3-3,fase_de_grupos,,
41,Club Brugge,Monaco,1-1,fase_de_grupos,,
42,PSV Eindhoven,Tottenham,2-2,fase_de_grupos,,
43,Barcelona,Inter,2-0,fase_de_grupos,,
44,Borussia Dortmund,Atlético Madrid,4-0,fase_de_grupos,,
45,Liverpool,Crvena zvezda,4-0,fase_de_grupos,,
46,Galatasaray,Schalke 04,0-0,fase_de_grupos,,
47,Lokomotiv Moskva,Porto,1-3,fase_de_grupos,,
48,Paris Saint-Germain,Napoli,2-2,fase_de_grupos,,
49,Bayern München,AEK Athens,2-0,fase_de_grupos,,
50,Valencia,Young Boys,3-1,fase_de_grupos,,
51,Benfica,Ajax,1-1,fase_de_grupos,,
52,Manchester City,Shakhtar Donetsk,6-0,fase_de_grupos,,
