id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Juventus,Sevilla,0-0,fase_de_grupos,,
2,Lyon,Dinamo Zagreb,3-0,fase_de_grupos,,
3,Club Brugge,Leicester,0-3,fase_de_grupos,,
4,FC Porto,Copenhagen,1-1,fase_de_grupos,,
5,Legia,Dortmund,0-6,fase_de_grupos,,
6,Real Madrid,Sporting CP,2-1,fase_de_grupos,,
7,Tottenham,Monaco,1-2,fase_de_grupos,,
8,Leverkusen,CSKA Moskva,2-2,fase_de_grupos,,
9,Man City,Mönchengladbach,4-0,fase_de_grupos,,
10,Bayern,Rostov,5-0,fase_de_grupos,,
11,Barcelona,Celtic,7-0,fase_de_grupos,,
12,PSV,Atlético de Madrid,0-1,fase_de_grupos,,
13,Benfica,Beşiktaş,1-1,fase_de_grupos,,
14,Dynamo Kyiv,Napoli,1-2,fase_de_grupos,,
15,Paris,Arsenal,1-1,fase_de_grupos,,
16,Basel,Ludogorets,1-1,fase_de_grupos,,
17,Rostov,PSV,2-2,fase_de_grupos,,
18,Atlético de Madrid,Bayern,1-0,fase_de_grupos,,
19,Mönchengladbach,Barcelona,1-2,fase_de_grupos,,
20,Celtic,Man City,3-3,fase_de_grupos,,
21,Napoli,Benfica,4-2,fase_de_grupos,,
22,Besiktas,Dynamo Kyiv,1-1,fase_de_grupos,,
23,Arsenal,Basel,2-0,fase_de_grupos,,
24,Ludogorets,Paris,1-3,fase_de_grupos,,
25,Sevilla,Lyon,1-0,fase_de_grupos,,
26,Dinamo Zagreb,Juventus,0-4,fase_de_grupos,,
27,Sporting CP,Legia,2-0,fase_de_grupos,,
28,Dortmund,Real Madrid,2-2,fase_de_grupos,,
29,Monaco,Leverkusen,1-1,fase_de_grupos,,
30,CSKA Moskva,Tottenham,0-1,fase_de_grupos,,
31,Leicester,FC Porto,1-0,fase_de_grupos,,
32,Copenhagen,Club Brugge,4-0,fase_de_grupos,,
33,Bayern,PSV,4-1,fase_de_grupos,,
34,Rostov,Atlético de Madrid,0-1,fase_de_grupos,,
35,Celtic,Mönchengladbach,0-2,fase_de_grupos,,
36,Barcelona,Man City,4-0,fase_de_grupos,,
37,Dynamo Kyiv,Benfica,0-2,fase_de_grupos,,
38,Napoli,Besiktas,2-3,fase_de_grupos,,
39,Paris,Basel,3-0,fase_de_grupos,,
40,Arsenal,Ludogorets,6-0,fase_de_grupos,,
41,Dinamo Zagreb,Sevilla,0-1,fase_de_grupos,,
42,Lyon,Juventus,0-1,fase_de_grupos,,
