id_partido,equipo_local,equipo_visitante,resultado_ida,resultado_vuelta
1,Atalanta,PSG,1-2,
2,RB Leipzig,Atlético Madrid,2-1,
3,Barcelona,Bayern Múnich,2-8,
4,Manchester City,Lyon,1-3,
