id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Inter de Milán,Slavia Praga,1-1,fase_de_grupos,,
2,Lyon,Zenit,1-1,fase_de_grupos,,
3,Nápoles,Liverpool,2-0,fase_de_grupos,,
4,Borussia Dortmund,Barcelona,0-0,fase_de_grupos,,
5,Chelsea,Valencia,0-1,fase_de_grupos,,
6,Salzburgo,Genk,6-2,fase_de_grupos,,
7,Napoli,Liverpool,2-0,fase_de_grupos,,
8,Ajax,Lille,3-0,fase_de_grupos,,
9,Benfica,RB Leipzig,1-2,fase_de_grupos,,
10,Olympiacos,Tottenham,2-2,fase_de_grupos,,
11,Club Brugge,Galatasaray,0-0,fase_de_grupos,,
12,PSG,Real Madrid,3-0,fase_de_grupos,,
13,Shakhtar Donetsk,Manchester City,0-3,fase_de_grupos,,
14,Atalanta,Dinamo Zagreb,0-4,fase_de_grupos,,
15,Bayern Munich,Estrella Roja,3-0,fase_de_grupos,,
16,Leverkusen,Lokomotiv Moscú,1-2,fase_de_grupos,,
17,Real Madrid,Club Brugge,2-2,fase_de_grupos,,
18,Atalanta,Shakhtar Donetsk,1-2,fase_de_grupos,,
19,Manchester City,Dinamo Zagreb,2-0,fase_de_grupos,,
20,Juventus,Bayer Leverkusen,3-0,fase_de_grupos,,
21,Lokomotiv Moscú,Atlético Madrid,0-2,fase_de_grupos,,
22,Tottenham,Bayern Múnich,2-7,fase_de_grupos,,
23,Galatasaray,PSG,0-1,fase_de_grupos,,
24,Estrella Roja,Olympiacos,3-1,fase_de_grupos,,
25,Genk,Napoli,0-0,fase_de_grupos,,
26,Liverpool,Salzburg,4-3,fase_de_grupos,,
27,Barcelona,Inter Milan,2-1,fase_de_grupos,,
28,Slavia Praga,Borussia Dortmund,0-2,fase_de_grupos,,
29,Zenit,Benfica,3-1,fase_de_grupos,,
30,Lille,Chelsea,1-2,fase_de_grupos,,
31,Valencia,Ajax,0-3,fase_de_grupos,,
32,RB Leipzig,Lyon,0-2,fase_de_grupos,,
33,Shakhtar Donetsk,Dinamo Zagreb,2-2,fase_de_grupos,,
34,Atlético Madrid,Bayer Leverkusen,1-0,fase_de_grupos,,
35,Club Brugge,PSG,0-5,fase_de_grupos,,
36,Galatasaray,Real Madrid,0-1,fase_de_grupos,,
37,Tottenham,Crvena Zvezda,5-0,fase_de_grupos,,
38,Manchester City,Atalanta,5-1,fase_de_grupos,,
39,Olympiacos,Bayern Múnich,2-3,fase_de_grupos,,
40,Juventus,Lokomotiv Moscú,2-1,fase_de_grupos,,
41,Salzburg,Napoli,2-3,fase_de_grupos,,
42,Genk,Liverpool,1-4,fase_de_grupos,,
43,Slavia Praga,Barcelona,1-2,fase_de_grupos,,
44,Inter Milan,Borussia Dortmund,2-0,fase_de_grupos,,
45,Benfica,Lyon,2-1,fase_de_grupos,,
46,Lille,Valencia,1-1,fase_de_grupos,,
47,Ajax,Chelsea,0-1,fase_de_grupos,,
48,RB Leipzig,Zenit,2-1,fase_de_grupos,,
49,Dinamo Zagreb,Shakhtar Donetsk,3-3,fase_de_grupos,,
50,Bayer Leverkusen,Atlético Madrid,2-1,fase_de_grupos,,
51,PSG,Club Brugge,1-0,fase_de_grupos,,
52,Real Madrid,Galatasaray,6-0,fase_de_grupos,,
53,Crvena Zvezda,Tottenham,0-4,fase_de_grupos,,
54,Atalanta,Manchester City,1-1,fase_de_grupos,,
55,Bayern Múnich,Olympiacos,2-0,fase_de_grupos,,
56,Lokomotiv Moscú,Juventus,1-2,fase_de_grupos,,
57,Napoli,Salzburg,1-1,fase_de_grupos,,
58,Liverpool,Genk,2-1,fase_de_grupos,,
59,Barcelona,Slavia Praga,0-0,fase_de_grupos,,
60,Borussia Dortmund,Inter Milan,3-2,fase_de_grupos,,
61,Lyon,Benfica,3-1,fase_de_grupos,,
62,Valencia,Lille,4-1,fase_de_grupos,,
63,Chelsea,Ajax,4-4,fase_de_grupos,,
64,Zenit,RB Leipzig,0-2,fase_de_grupos,,
65,Galatasaray,Club Brugge,1-1,fase_de_grupos,,
66,Lokomotiv Moscú,Bayer Leverkusen,0-2,fase_de_grupos,,
67,Real Madrid,PSG,2-2,fase_de_grupos,,
68,Tottenham,Olympiacos,4-2,fase_de_grupos,,
69,Manchester City,Shakhtar Donetsk,1-1,fase_de_grupos,,
70,Juventus,Atlético Madrid,1-0,fase_de_grupos,,
71,Estrella Roja,Bayern Múnich,0-6,fase_de_grupos,,
72,Atalanta,Dinamo Zagreb,2-0,fase_de_grupos,,
73,Valencia,Chelsea,2-2,fase_de_grupos,,
74,Zenit,Lyon,2-0,fase_de_grupos,,
75,Liverpool,Napoli,1-1,fase_de_grupos,,
76,Genk,Salzburg,1-4,fase_de_grupos,,
77,Barcelona,Borussia Dortmund,3-1,fase_de_grupos,,
78,Slavia Praga,Inter Milan,1-3,fase_de_grupos,,
79,RB Leipzig,Benfica,2-2,fase_de_grupos,,
80,Lille,Ajax,0-2,fase_de_grupos,,
81,Bayern Múnich,Tottenham,3-1,fase_de_grupos,,
82,Olympiacos,Estrella Roja,1-0,fase_de_grupos,,
83,PSG,Galatasaray,5-0,fase_de_grupos,,
84,Club Brugge,Real Madrid,1-3,fase_de_grupos,,
85,Atlético Madrid,Lokomotiv Moscú,2-0,fase_de_grupos,,
86,Bayer Leverkusen,Juventus,0-2,fase_de_grupos,,
87,Shakhtar Donetsk,Atalanta,0-3,fase_de_grupos,,
88,Dinamo Zagreb,Manchester City,1-4,fase_de_grupos,,
89,Ajax,Valencia,0-1,fase_de_grupos,,
90,Chelsea,Lille,2-1,fase_de_grupos,,
91,Benfica,Zenit,3-0,fase_de_grupos,,
92,Lyon,RB Leipzig,2-2,fase_de_grupos,,
93,Borussia Dortmund,Slavia Praga,2-1,fase_de_grupos,,
94,Inter Milan,Barcelona,1-2,fase_de_grupos,,
95,Napoli,Genk,4-0,fase_de_grupos,,
96,Salzburg,Liverpool,0-2,fase_de_grupos,,
1,Borussia Dortmund,PSG,,octavos,2-1,0-2
2,Real Madrid,Manchester City,,octavos,1-2,1-2
3,Atalanta,Valencia,,octavos,4-1,4-3
4,Atlético Madrid,Liverpool,,octavos,1-0,3-2
5,Chelsea,Bayern Múnich,,octavos,0-3,1-4
6,Lyon,Juventus,,octavos,1-0,1-2
7,Tottenham,RB Leipzig,,octavos,0-1,0-3
8,Napoli,Barcelona,,octavos,1-1,1-3
1,Atalanta,PSG,,cuartos,1-2,
2,RB Leipzig,Atlético Madrid,,cuartos,2-1,
3,Barcelona,Bayern Múnich,,cuartos,2-8,
4,Manchester City,Lyon,,cuartos,1-3,
1,RB Leipzig,PSG,,semis,0-3,
2,Lyon,Bayern Múnich,,semis,0-3,
1,PSG,Bayern Múnich,0-1,final,,
