id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1,Zenit,Club Brugge,1-2,fase_de_grupos,,
2,Dinamo Kiev,Juventus,0-2,fase_de_grupos,,
3,Chelsea,Sevilla,0-0,fase_de_grupos,,
4,Rennes,Krasnodar,1-1,fase_de_grupos,,
5,Lazio,Borussia Dortmund,3-1,fase_de_grupos,,
6,Barcelona,Ferencváros,5-1,fase_de_grupos,,
7,PSG,Manchester United,1-2,fase_de_grupos,,
8,RB Leipzig,İstanbul Başakşehir,2-0,fase_de_grupos,,
9,Real Madrid,Shakhtar Donetsk,2-3,fase_de_grupos,,
10,Bayern Múnich,Atlético Madrid,4-0,fase_de_grupos,,
11,Inter Milan,Borussia Mönchengladbach,2-2,fase_de_grupos,,
12,Manchester City,Porto,3-1,fase_de_grupos,,
13,Olympiacos,Marsella,1-0,fase_de_grupos,,
14,Ajax,Liverpool,0-1,fase_de_grupos,,
15,Midtjylland,Atalanta,0-4,fase_de_grupos,,
16,Salzburg,Lokomotiv Moscú,2-2,fase_de_grupos,,
17,Lokomotiv Moscú,Bayern Múnich,1-2,fase_de_grupos,,
18,Shakhtar Donetsk,Inter Milan,0-0,fase_de_grupos,,
19,Atlético Madrid,Salzburg,3-2,fase_de_grupos,,
20,Borussia Mönchengladbach,Real Madrid,2-2,fase_de_grupos,,
21,Porto,Olympiacos,2-0,fase_de_grupos,,
22,Marsella,Manchester City,0-3,fase_de_grupos,,
23,Liverpool,Midtjylland,2-0,fase_de_grupos,,
24,Atalanta,Ajax,2-2,fase_de_grupos,,
25,Krasnodar,Chelsea,0-4,fase_de_grupos,,
26,İstanbul Başakşehir,PSG,0-2,fase_de_grupos,,
27,Sevilla,Rennes,1-0,fase_de_grupos,,
28,Borussia Dortmund,Zenit,2-0,fase_de_grupos,,
29,Club Brugge,Lazio,1-1,fase_de_grupos,,
30,Juventus,Barcelona,0-2,fase_de_grupos,,
31,Ferencváros,Dinamo Kiev,2-2,fase_de_grupos,,
32,Manchester United,RB Leipzig,5-0,fase_de_grupos,,
33,Shakhtar Donetsk,Borussia Mönchengladbach,0-6,fase_de_grupos,,
34,Lokomotiv Moscú,Atlético Madrid,1-1,fase_de_grupos,,
35,Salzburg,Bayern Múnich,2-6,fase_de_grupos,,
36,Real Madrid,Inter Milan,3-2,fase_de_grupos,,
37,Manchester City,Olympiacos,3-0,fase_de_grupos,,
38,Porto,Marsella,3-0,fase_de_grupos,,
39,Midtjylland,Ajax,1-2,fase_de_grupos,,
40,Atalanta,Liverpool,0-5,fase_de_grupos,,
41,Zenit,Lazio,1-1,fase_de_grupos,,
42,İstanbul Başakşehir,Manchester United,2-1,fase_de_grupos,,
43,Barcelona,Dinamo Kiev,2-1,fase_de_grupos,,
44,Ferencváros,Juventus,1-4,fase_de_grupos,,
45,Club Brugge,Borussia Dortmund,0-3,fase_de_grupos,,
46,Sevilla,Krasnodar,3-2,fase_de_grupos,,
47,Chelsea,Rennes,3-0,fase_de_grupos,,
48,RB Leipzig,PSG,2-1,fase_de_grupos,,
49,Borussia Mönchengladbach,Shakhtar Donetsk,4-0,fase_de_grupos,,
50,Atlético Madrid,Lokomotiv Moscú,0-0,fase_de_grupos,,
51,Bayern Múnich,Salzburg,3-1,fase_de_grupos,,
52,Inter Milan,Real Madrid,0-2,fase_de_grupos,,
